DEPTH,BVW,KLOGH,VSH,DT,GR,NPHI,PEF,RHOB,RT,LITHOLOGY
3619.507239,0.040199999,16.79579926,0.258399993,71.75460052,34.71979904,0.189500004,2.847500086,2.334700108,19.68600082,Sandstone
3619.659639,0.0403,23.58740044,0.236699998,72.82119751,32.2220993,0.1796,2.762599945,2.340699911,19.01619911,Sandstone
3619.81204,0.0383,27.93079948,0.225199997,76.24960327,30.90040016,0.163399994,2.709399939,2.332799911,21.17639923,Sandstone
3619.96444,0.0361,42.39170074,0.209700003,78.33000183,29.12050056,0.159099996,2.736000061,2.3125,24.63240051,Sandstone
3620.11684,0.035100002,49.87379837,0.205599993,80.9312973,28.64679909,0.157299995,2.736000061,2.298099995,26.76639938,Sandstone
3620.269241,0.035100002,48.76499939,0.211600006,82.00009918,29.33189964,0.162,2.730600119,2.28760004,27.16150093,Sandstone
3620.421641,0.034600001,47.55699921,0.217899993,84.03340149,30.05690002,0.174099997,2.707099915,2.285000086,28.64150047,Sandstone
3620.574041,0.034400001,36.31710052,0.231800005,84.07409668,31.65299988,0.172999993,2.716200113,2.280900002,29.32189941,Sandstone
3620.726441,0.034200002,30.48329926,0.243900001,84.66950226,33.05080032,0.180299997,2.755599976,2.277299881,30.33950043,Sandstone
3620.878842,0.034699999,26.45000076,0.246099994,84.21959686,33.30289841,0.178399995,2.859899998,2.290299892,28.86590004,Sandstone
3621.031242,0.0348,21.94549942,0.251599997,85.05139923,33.93909836,0.1787,3.016499996,2.302099943,28.46559906,Sandstone
3621.183642,0.031199999,17.07889938,0.25819999,84.93689728,34.69760132,0.183599994,3.124500036,2.325799942,36.69340134,Sandstone
3621.336043,0.029100001,11.74660015,0.275999993,83.2009964,36.73880005,0.183500007,3.185300112,2.326800108,44.06299973,Sandstone
3621.488443,0.034400001,12.77229977,0.274800003,80.96279907,36.60540009,0.181400001,3.113500118,2.314899921,29.35330009,Sandstone
3621.640843,0.0341,20.90780067,0.254400015,79.47810364,34.2521019,0.170200005,3.050499916,2.290899992,29.95190048,Sandstone
3621.793244,0.0274,27.76199913,0.243799999,79.0082016,33.03369904,0.166999996,3.014699936,2.27699995,51.72880173,Sandstone
