DEPTH,BVW,KLOGH,PHIF,VSH,DT,GR,NPHI,PEF,RHOB,RT,LITHOLOGY
3995.4,0.025,836.753,0.233,0.101,,17.796,0.197,4.731,2.228,63.826,Sandstone
3995.5,0.028,1000.683,0.238,0.101,,17.295,0.195,4.55,2.212,52.763,Sandstone
3995.6,0.03,1120.278,0.247,0.103,,17.612,0.194,4.421,2.183,43.302,Sandstone
3995.7,0.031,1347.07,0.256,0.102,,17.476,0.193,4.359,2.157,42.133,Sandstone
3995.8,0.029,1396.961,0.262,0.106,,17.878,0.191,4.355,2.138,49.2,Sandstone
3995.9,0.029,1476.033,0.264,0.105,,17.751,0.188,4.391,2.129,50.74,Sandstone
3996,0.028,1463.396,0.263,0.104,,17.74,0.185,4.437,2.127,56.598,Sandstone
3996.1,0.028,1205.989,0.262,0.113,,18.748,0.184,4.463,2.129,56.517,Sandstone
3996.2,0.027,1086.644,0.261,0.117,,19.273,0.185,4.452,2.134,58.01,Sandstone
3996.3,0.027,895.695,0.26,0.126,,20.321,0.188,4.42,2.139,60.228,Sandstone
3996.4,0.027,1006.817,0.259,0.119,,19.531,0.19,4.398,2.144,59.658,Sandstone
3996.5,0.027,1198.353,0.259,0.11,,18.415,0.19,4.401,2.147,59.283,Sandstone
3996.6,0.027,1020.743,0.258,0.117,,19.313,0.189,4.412,2.147,58.911,Sandstone
3996.7,0.027,900.32,0.259,0.125,,20.199,0.191,4.412,2.145,58.091,Sandstone
3996.8,0.027,1095.731,0.259,0.115,,18.968,0.187,4.403,2.142,57.119,Sandstone
3996.9,0.028,1266.727,0.26,0.108,,18.231,0.188,4.398,2.141,55.748,Sandstone
3997,0.028,1387.579,0.259,0.103,,17.585,0.186,4.391,2.141,55.327,Sandstone
3997.1,0.028,1122.072,0.256,0.111,,18.5,0.18,4.373,2.143,53.174,Sandstone
3997.2,0.028,933.969,0.254,0.118,,19.424,0.178,4.352,2.145,53.021,Sandstone
3997.3,0.029,1075.373,0.254,0.111,,18.583,0.18,4.354,2.147,50.791,Sandstone
3997.4,0.029,1068.877,0.256,0.113,,18.835,0.186,4.385,2.149,49.603,Sandstone
3997.5,0.029,962.799,0.256,0.118,,19.398,0.186,4.428,2.151,49.192,Sandstone
3997.6,0.029,956.134,0.257,0.119,,19.555,0.19,4.455,2.152,47.807,Sandstone
3997.7,0.03,1175.285,0.257,0.109,,18.31,0.189,4.446,2.152,47.172,Sandstone
3997.8,0.03,1380.313,0.257,0.102,,17.436,0.189,4.404,2.15,46.734,Sandstone
3997.9,0.03,1149.679,0.258,0.111,,18.561,0.189,4.371,2.148,46.393,Sandstone
3998,0.03,1069.616,0.259,0.116,,19.17,0.193,4.381,2.148,45.463,Sandstone
3998.1,0.03,985.405,0.26,0.121,,19.721,0.195,4.433,2.149,44.964,Sandstone
3998.2,0.03,810.712,0.259,0.129,,20.79,0.194,4.485,2.15,44.445,Sandstone
3998.3,0.031,882.761,0.259,0.125,,20.226,0.192,4.494,2.149,43.413,Sandstone
3998.4,0.031,833.097,0.259,0.128,,20.593,0.191,4.46,2.147,42.58,Sandstone
3998.5,0.031,964.534,0.26,0.122,,19.82,0.191,4.414,2.144,41.873,Sandstone
3998.6,0.031,1091.397,0.26,0.116,,19.139,0.192,4.383,2.144,41.014,Sandstone
3998.7,0.032,956.781,0.26,0.122,,19.901,0.194,4.383,2.147,39.55,Sandstone
3998.8,0.032,886.637,0.26,0.126,,20.344,0.196,4.404,2.15,38.024,Sandstone
3998.9,0.033,898.224,0.26,0.125,,20.271,0.198,4.438,2.152,36.828,Sandstone
3999,0.034,944.728,0.26,0.123,,19.959,0.199,4.483,2.153,34.988,Sandstone
3999.1,0.034,752.761,0.26,0.133,,21.28,0.2,4.54,2.155,33.85,Sandstone
3999.2,0.034,699.199,0.261,0.138,,21.88,0.205,4.598,2.157,33.107,Sandstone
3999.3,0.035,647.979,0.263,0.143,,22.473,0.208,4.625,2.156,32.762,Sandstone
3999.4,0.035,605.745,0.263,0.147,,22.907,0.206,4.61,2.152,32.255,Sandstone
3999.5,0.035,596.856,0.265,0.149,,23.182,0.206,4.566,2.148,31.602,Sandstone
3999.6,0.035,574.11,0.264,0.15,,23.329,0.203,4.523,2.146,31.221,Sandstone
3999.7,0.035,401.935,0.263,0.166,,25.297,0.2,4.506,2.147,31.993,Sandstone
3999.8,0.035,349.932,0.26,0.171,,25.843,0.196,4.508,2.149,32.218,Sandstone
3999.9,0.036,408.506,0.26,0.163,,24.917,0.199,4.51,2.153,30.23,Sandstone
4000,0.037,372.399,0.259,0.167,,25.328,0.199,4.505,2.156,28.511,Sandstone
4000.1,0.037,571.489,0.258,0.145,,22.718,0.2,4.501,2.16,27.434,Sandstone
4000.2,0.038,540.613,0.257,0.147,,22.953,0.202,4.503,2.165,25.22,Sandstone
4000.3,0.039,364.818,0.255,0.164,,25.074,0.202,4.515,2.171,24.696,Sandstone
4000.4,0.039,263.63,0.252,0.178,,26.674,0.202,4.559,2.179,24.37,Sandstone
4000.5,0.036,215.875,0.248,0.183,,27.356,0.201,4.643,2.191,29.516,Sandstone
4000.6,0.032,159.109,0.241,0.192,,28.394,0.2,4.755,2.21,39.509,Sandstone
4000.7,0.033,111.334,0.232,0.201,,29.491,0.198,4.86,2.235,35.277,Sandstone
4000.8,0.049,66.502,0.222,0.217,,31.535,0.198,4.948,2.261,12.863,Sandstone
4000.9,0.057,31.753,0.216,0.247,,35.168,0.2,5.051,2.283,9.081,Sandstone
4001,0.057,18.93,0.211,0.268,,37.627,0.201,5.182,2.3,8.977,Sandstone
4001.1,0.066,20.63,0.208,0.261,,36.792,0.209,5.292,2.318,6.286,Sandstone
4001.2,0.056,32.114,0.203,0.235,,33.718,0.213,5.285,2.335,9.142,Sandstone
4001.3,0.026,42.512,0.202,0.221,,31.964,0.214,5.135,2.339,194.316,Sandstone
4001.4,0.03,48.738,0.207,0.219,,31.656,0.209,4.922,2.32,62115.07,Sandstone
4001.5,0.028,80.462,0.22,0.206,,30.152,0.21,4.744,2.282,51.852,Sandstone
4001.6,0.033,87.35,0.233,0.214,,31.086,0.207,4.634,2.24,36.321,Sandstone
